GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bestofbooks,tqs.group4.bestofbooks.model,Buyer,3,23,0,0,2,10,1,5,1,5
bestofbooks,tqs.group4.bestofbooks.model,BookOrder,0,27,0,0,0,11,0,6,0,6
bestofbooks,tqs.group4.bestofbooks.model,Book,24,65,5,1,6,20,5,11,2,11
bestofbooks,tqs.group4.bestofbooks.model,Order,0,51,0,0,0,19,0,10,0,10
bestofbooks,tqs.group4.bestofbooks.model,Admin,3,23,0,0,2,10,1,5,1,5
bestofbooks,tqs.group4.bestofbooks.model,Revenue,0,27,0,0,0,11,0,6,0,6
bestofbooks,tqs.group4.bestofbooks.model,Commission,0,25,0,0,0,11,0,6,0,6
bestofbooks,tqs.group4.bestofbooks.model,Publisher,3,43,0,0,2,18,1,9,1,9
bestofbooks,tqs.group4.bestofbooks.exception,OrderNotFoundException,4,3,0,0,2,2,1,1,1,1
bestofbooks,tqs.group4.bestofbooks.exception,BookNotFoundException,0,15,0,0,0,4,0,2,0,2
bestofbooks,tqs.group4.bestofbooks.exception,LoginRequiredException,0,4,0,0,0,2,0,1,0,1
bestofbooks,tqs.group4.bestofbooks.exception,LoginFailedException,0,4,0,0,0,2,0,1,0,1
bestofbooks,tqs.group4.bestofbooks.exception,ForbiddenUserException,0,4,0,0,0,2,0,1,0,1
bestofbooks,tqs.group4.bestofbooks.exception,UserNotFoundException,0,7,0,0,0,4,0,2,0,2
bestofbooks,tqs.group4.bestofbooks.exception,NotEnoughStockException,0,7,0,0,0,4,0,2,0,2
bestofbooks,tqs.group4.bestofbooks.exception,EmptyIncomingOrderException,0,7,0,0,0,4,0,2,0,2
bestofbooks,tqs.group4.bestofbooks.exception,RepeatedPaymentReferenceException,4,3,0,0,2,2,1,1,1,1
bestofbooks,tqs.group4.bestofbooks.security,SecurityUtils,14,0,2,0,4,0,2,0,1,0
bestofbooks,tqs.group4.bestofbooks.dto,UserDto,0,42,0,0,0,16,0,8,0,8
bestofbooks,tqs.group4.bestofbooks.dto,OrderDTO,4,67,0,0,2,22,1,8,1,8
bestofbooks,tqs.group4.bestofbooks.dto,RevenueDTO,13,69,3,3,1,18,4,8,1,8
bestofbooks,tqs.group4.bestofbooks.dto,IncomingBookOrderDTO,21,41,5,5,1,11,6,4,1,4
bestofbooks,tqs.group4.bestofbooks.dto,IncomingOrderDTO,30,69,7,7,1,19,8,7,1,7
bestofbooks,tqs.group4.bestofbooks.dto,BookOrderDTO,0,42,0,0,0,15,0,6,0,6
bestofbooks,tqs.group4.bestofbooks.dto,StockDto,11,82,6,10,4,24,5,10,0,7
bestofbooks,tqs.group4.bestofbooks.service,UserService,0,28,0,2,0,5,0,3,0,2
bestofbooks,tqs.group4.bestofbooks.service,LoginServices,12,271,2,36,3,61,4,24,2,7
bestofbooks,tqs.group4.bestofbooks.service,BookService,0,164,0,18,0,32,0,16,0,7
bestofbooks,tqs.group4.bestofbooks.service,RevenueService,0,63,0,4,0,8,0,6,0,4
bestofbooks,tqs.group4.bestofbooks.service,CommissionService,10,9,0,0,2,2,2,2,2,2
bestofbooks,tqs.group4.bestofbooks.service,StockService,28,143,0,8,5,21,1,7,1,3
bestofbooks,tqs.group4.bestofbooks.service,OrderService,237,3,14,0,44,1,17,1,10,1
bestofbooks,tqs.group4.bestofbooks.sessionconfig,HttpSessionConfig,0,7,0,0,0,2,0,2,0,2
bestofbooks,tqs.group4.bestofbooks.controller,PublisherController,0,34,0,0,0,6,0,5,0,5
bestofbooks,tqs.group4.bestofbooks.controller,OrdersController,0,24,0,0,0,5,0,4,0,4
bestofbooks,tqs.group4.bestofbooks.controller,AdminController,9,3,0,0,2,1,2,1,2,1
bestofbooks,tqs.group4.bestofbooks.controller,SessionController,0,91,0,8,0,19,0,7,0,3
bestofbooks,tqs.group4.bestofbooks.controller,BooksController,0,21,0,0,0,4,0,4,0,4
bestofbooks,tqs.group4.bestofbooks.controller,BuyersController,5,3,0,0,1,1,1,1,1,1
bestofbooks,tqs.group4.bestofbooks,BestofbooksApplication,5,3,0,0,2,1,1,1,1,1
